Make,Type,Model Type,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Hyundai,Domestic,RV,Santa-Fe (TM),4313.0,2781.0,4274.0,4096.0,3479.0,2780.0,2392.0,1281.0,853.0,2151.0,1478.0,2016.0,31894.0,2021
Hyundai,Domestic,RV,Santa-Fe (TM HEV),0.0,0.0,0.0,0.0,0.0,0.0,2060.0,2041.0,1336.0,1343.0,1417.0,1509.0,9706.0,2021
Hyundai,Domestic,RV,Palisade (LX2),3818.0,4045.0,5897.0,5777.0,5040.0,4964.0,4695.0,4011.0,3290.0,2582.0,4503.0,3716.0,52338.0,2021
Hyundai,Domestic,RV,GV60 (JW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,406.0,737.0,1190.0,2021
Hyundai,Domestic,RV,GV70 (JK),2287.0,2686.0,5093.0,4161.0,4336.0,4138.0,3792.0,2575.0,1805.0,2892.0,3379.0,3850.0,40994.0,2021
Hyundai,Domestic,RV,GV80 (JX),1965.0,1190.0,2470.0,2321.0,1531.0,2070.0,2159.0,1231.0,1290.0,1828.0,3233.0,3303.0,24591.0,2021
Hyundai,Domestic,CV,LCV,10242.0,8994.0,13104.0,10540.0,10506.0,13611.0,12822.0,10987.0,7819.0,6817.0,10319.0,9889.0,125650.0,2021
Hyundai,Domestic,CV,HCV,2200.0,2244.0,2952.0,3125.0,2815.0,2704.0,2201.0,2006.0,1716.0,2296.0,2339.0,2060.0,28658.0,2021
Hyundai,Export,PC,Avante (CN7),9886.0,7772.0,11432.0,10892.0,6882.0,10958.0,7580.0,7913.0,9243.0,8016.0,10070.0,12130.0,112774.0,2021
Hyundai,Export,PC,Avante (CN7 HEV),1374.0,769.0,973.0,808.0,321.0,647.0,1193.0,781.0,420.0,712.0,535.0,1195.0,9728.0,2021
Hyundai,Export,PC,Avante (CN7 N),0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,34.0,314.0,303.0,477.0,1139.0,2021
Hyundai,Export,PC,Avante (AD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Export,PC,IONIQ (AE HEV),2873.0,2016.0,2381.0,2659.0,2334.0,2547.0,3211.0,2420.0,2629.0,3627.0,3526.0,2386.0,32609.0,2021
Hyundai,Export,PC,IONIQ (AE PHEV),846.0,665.0,834.0,793.0,633.0,458.0,390.0,343.0,349.0,630.0,453.0,674.0,7068.0,2021
Hyundai,Export,PC,IONIQ (AE EV),1246.0,1280.0,1195.0,761.0,788.0,799.0,825.0,252.0,626.0,594.0,320.0,391.0,9077.0,2021
Hyundai,Export,PC,i30 (PD),1821.0,1400.0,1480.0,1404.0,1604.0,1811.0,2284.0,1265.0,1366.0,1707.0,881.0,1204.0,18227.0,2021
Hyundai,Export,PC,Veloster (JS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Export,PC,Veloster (JS N),285.0,211.0,331.0,300.0,114.0,173.0,211.0,60.0,368.0,136.0,52.0,311.0,2552.0,2021
Hyundai,Export,PC,Sonata (LF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Export,PC,Sonata (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Export,PC,Sonata (PHEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Export,PC,Sonata (DN8),852.0,2693.0,2279.0,3983.0,3082.0,2496.0,2914.0,1608.0,1189.0,4592.0,2360.0,3598.0,31646.0,2021
Hyundai,Export,PC,Sonata (DN8 HEV),1271.0,713.0,922.0,2118.0,831.0,556.0,1080.0,830.0,814.0,828.0,874.0,703.0,11540.0,2021
Hyundai,Export,PC,i40 (VF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Export,PC,Grandeur (IG),212.0,180.0,49.0,93.0,2.0,916.0,798.0,317.0,532.0,410.0,430.0,455.0,4394.0,2021
Hyundai,Export,PC,Grandeur (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Export,PC,G70,321.0,79.0,1916.0,1091.0,946.0,1444.0,1076.0,696.0,1258.0,929.0,1076.0,1676.0,12508.0,2021
Hyundai,Export,PC,G80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Export,PC,G80 (RG3),445.0,297.0,654.0,755.0,665.0,616.0,835.0,250.0,345.0,498.0,479.0,232.0,6071.0,2021
Hyundai,Export,PC,G80 (RG3 EV),0.0,0.0,0.0,0.0,7.0,5.0,2.0,1.0,0.0,2.0,13.0,1.0,31.0,2021
Hyundai,Export,PC,G90,319.0,76.0,200.0,282.0,297.0,128.0,144.0,52.0,67.0,53.0,331.0,174.0,2123.0,2021
Hyundai,Export,PC,G90 (RS4),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,2021
Hyundai,Export,RV,Venue,5348.0,4539.0,5543.0,4322.0,3401.0,4340.0,5255.0,3440.0,4559.0,4515.0,5802.0,5455.0,56519.0,2021
Hyundai,Export,RV,Kona (OS),13315.0,15811.0,14540.0,13023.0,7996.0,8694.0,10395.0,11434.0,13378.0,13725.0,12041.0,12283.0,146635.0,2021
Hyundai,Export,RV,Kona (OS HEV),3291.0,3083.0,3645.0,2341.0,1466.0,586.0,532.0,556.0,1171.0,1980.0,1316.0,2728.0,22695.0,2021
Hyundai,Export,RV,Kona (OS EV),2808.0,2047.0,2573.0,1859.0,1589.0,1057.0,1317.0,1107.0,1486.0,1941.0,1616.0,1414.0,20814.0,2021
Hyundai,Export,RV,Kona (OS N),1.0,0.0,7.0,1.0,0.0,356.0,250.0,314.0,72.0,280.0,443.0,461.0,2185.0,2021
Hyundai,Export,RV,Tucson (TL),10618.0,1233.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11859.0,2021
Hyundai,Export,RV,Tucson (NX4),14.0,2781.0,8350.0,8840.0,7708.0,7038.0,8488.0,4467.0,4205.0,7415.0,6517.0,7137.0,72960.0,2021
Hyundai,Export,RV,Tucson (NX4 HEV),0.0,401.0,3758.0,2614.0,1348.0,2027.0,2961.0,2160.0,2012.0,3513.0,3627.0,3780.0,28201.0,2021
Hyundai,Export,RV,Tucson (NX4 PHEV),3.0,0.0,0.0,0.0,2.0,0.0,0.0,222.0,487.0,615.0,584.0,462.0,2375.0,2021
Hyundai,Export,RV,NEXO(FE),94.0,103.0,210.0,119.0,142.0,51.0,99.0,54.0,3.0,70.0,81.0,92.0,1118.0,2021
Hyundai,Export,RV,IONIQ 5 (NE),5.0,3.0,6.0,3091.0,3416.0,4455.0,4621.0,3369.0,4084.0,4967.0,6872.0,8346.0,43235.0,2021
Hyundai,Export,RV,Santa-Fe (TM),4031.0,3671.0,3108.0,2803.0,2708.0,3050.0,2371.0,2011.0,2329.0,1938.0,2996.0,4365.0,35381.0,2021
Hyundai,Export,RV,Santa-Fe (TM HEV),1455.0,249.0,2331.0,1580.0,2047.0,668.0,1108.0,410.0,593.0,1375.0,948.0,966.0,13730.0,2021
Hyundai,Export,RV,Santa-Fe (TM PHEV),286.0,426.0,1171.0,546.0,582.0,476.0,1142.0,934.0,886.0,1118.0,977.0,966.0,9510.0,2021
Hyundai,Export,RV,Palisade (LX2),9657.0,6652.0,9521.0,9091.0,7082.0,9401.0,8929.0,8065.0,7640.0,9235.0,10643.0,9434.0,105350.0,2021
Hyundai,Export,RV,GV60,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,4.0,7.0,3.0,0.0,24.0,2021
Hyundai,Export,RV,GV70,5.0,2.0,157.0,2633.0,2092.0,1872.0,2313.0,1812.0,1556.0,2528.0,1750.0,1696.0,18416.0,2021
Hyundai,Export,RV,GV80,2388.0,1854.0,2632.0,2771.0,1889.0,1706.0,1911.0,1583.0,1905.0,2552.0,683.0,1607.0,23481.0,2021
